,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
ABT,,-47.6657677851314,11.31790529492072,9.562772940498352,-26.303252477514203,-29.451554139650906,-15.40265179029414,-6.352315321185769,-0.3109248488765317,-6.088141896084121,-24.799887442972075,-6.718717723203341,-23.558744784098266,0.47377540430346166,,-12.404362280093808,-3.8135985746419525,0.6468996061371861,-3.326796930774827,-2.1180328032109514,,-1.1239642136274064,-13.788943369524894,-5.785897266844046,9.329859335816675,-19.56133120226122,-5.351382931441037,-5.036277587130954,-15.664368629770694,-21.462529980286327,-33.29449008947526,-50.506231338648945,5.266953664182868,-1.1248656720412242,-16.913711458253033,-16.6992288020678,-13.49874718819601,-55.03540452025126,-7.0158850013130944,-31.752813889558112,8.719389025172198,-23.91451817906902,18.541307676327214,-29.915817829540842
ADSK,-15.337812542488823,0.5996055137755123,,-0.7638712318841758,-1.8234587383870817,-2.567983330158315,0.4522206852193591,-42.59009027678897,0.23547033529658457,-0.5870377119649905,-4.420119057849968,-3.4348213190248646,-0.5451664051803782,-3.2331739399091095,,-5.592266353559978,,-1.2047992865248265,-0.3697257123207409,0.666241668564088,-3.0264760771902166,-0.3455681315872985,-4.826738210398945,-1.2616980139173695,-0.8831025059482318,-10.833809406706184,-17.71148490926529,-29.810270020334585,,-12.21494050183042,-11.38304167685014,-20.013090598271212,-0.022998277382413335,-0.5577439837291251,-22.358507544940114,-26.29455054524473,-10.773964778836042,-9.431998766626606,-1.1135947054568884,-21.03225658106706,-3.418648498797509,-7.760600752481304,-14.435604258111134,-12.480857500273562
TAP,,,,,,-35.434569996099306,-3.654242387532104,-6.5843686895749265,-17.58305736671622,3.121939984272366,-2.8970565762411304,-26.37614111711745,-23.96859006140035,-10.553770811976674,-56.98687002524493,-18.46843420518414,4.257821380207992,-0.216961885010575,-0.7088780151723437,0.13139595941620508,,-0.7058315686036849,-0.4076610879866873,-3.2409802754663706,0.19967960491893066,5.022415752466905,-0.3380448652381052,1.9668483605626417,-6.1894282799091656,-13.84808412007029,-37.32035947888707,-14.141899378862831,-8.115572047760402,-11.992568804838724,-18.926032413624633,-13.949323683197434,,-30.209815631732717,-30.333968247036452,-12.830603863613955,-14.745332258010677,-14.245701795156215,-20.276704616847965,-3.8191050892035285
ACAD,-12.847431266461175,-10.659064338011024,,-8.247795822072831,-19.751891880104974,-2.4633882754197494,-2.5328365179649337,-1.2860203127747578,-1.3762662415181772,-1.259478284684553,,-2.393326602943114,,,-2.3695278342368082,,,,,,,,,-4.060987728970831,,,,,,,,,,,,,,,,,-0.9826588442918673,,,
ACN,-0.47694955663876826,-2.445732462973192,0.022149705991004964,6.154821953214697,0.24339007329917095,0.779114687360364,-6.045171157220225,-8.877069141525787,-6.826582479183836,-1.473200127955188,-1.0437454576374936,-3.3261901382946917,-18.39336157224198,-12.994467071034142,-1.986442140076976,-2.8753907364194298,-1.3924250815771089,-1.206411881455283,-3.6501930369677105,-0.21286682691677683,-3.0036382565150586,-2.0276131286727885,-5.425321049741584,1.1866902727319015,,,-17.33585830213718,-28.013135208180607,-31.71318093448822,-11.938351899583083,-13.656196698663464,-52.15414742850777,-9.866174116583823,-9.739764621424348,1.7752244425457988,,-1.104935257920376,-14.231788698105476,39.70714049485014,-15.243690571912474,5.778673531577333,,-7.467367210402145,-3.599147239738177
ADBE,-3.22461861878576,-5.781907248442276,-1.8797989638574197,-1.7385175932675114,-0.17036113196401814,-2.7128788675510336,-8.494138338851165,-4.803534606045499,-1.7882668452261754,-0.4261012565484883,12.369852890919383,,-82.65492450270798,,-2.984093512157081,,-14.133549515966461,-2.0954576919254855,-1.4255645725259338,,-0.3628518300545025,-16.935517144242226,-6.439029563499673,-2.080288370371612,2.3921607427852365,-35.677234993447,3.1327950115594767,-3.1979388279512584,-26.307264720933574,-110.20712894199703,-15.755365758938567,3.6647218263529666,-1.7245464485131858,-4.7846694458656,-7.909122606487479,,-32.901608214673786,-101.23005991600559,-10.527856140303511,-5.9617056794632575,-13.236026683131655,1.7500412644617391,8.546387242120042,-0.4226279290439585
ADM,-2.061423684401211,-6.761415335451298,-7.3784762988631964,-20.97748104013828,-10.721566056632124,-7.723271329409233,-4.001704523690762,-12.449774717556888,-4.5424003533149016,-12.50852689562128,-8.626906003970914,-7.956374282629442,,-10.826352709505995,-7.578984034406206,-2.77926248638682,,-6.62973834874026,-5.216197842577827,-0.9633107210546923,-11.32386609349074,6.5849542184742464,4.335057632072351,-3.6165130796952774,-4.582668228097983,,-11.42130467910122,6.854089854380658,,-6.226570430219317,,-9.722684754323835,,-18.325241952374178,,-1.802515432678149,-19.337649232129998,-11.66572978056368,-9.197264125184489,7.88477758720277,,-7.617926992102529,-42.55560433129624,-17.13438760065866
AMAG,,,,,,,,1.268380388992405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AET,1.4013005531748757,1.3559245236797706,-3.980482712568831,-5.139378165097467,-6.713741324991966,-3.6138448740820124,-4.776260501141648,-3.0443601189530725,-7.655165097917367,-14.555944540584377,-5.357229501281708,3.5661126313243336,-5.5656484433508835,-27.555083619800378,-41.105250184154954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,-5.055035265473835,-1.014896878500517,,-3.1745511976671716,-6.60288509210152,-4.498323384174295,1.146184577764247,-2.291422542191798,-34.28383243596526,-11.18573756241899,-67.42269854921024,,-65.83166297359783,-3.5992229657486483,-12.16194428952511,-10.029088913608735,-3.7732648061332625,-3.7123695773423213,,-0.8856227292569416,-121.37407729837768,-2.1206250677933838,-52.125177403900395,-19.67276493737344,-46.327939519070426,-6.053138830341247,-14.439100853647354,-32.245470045647345,-37.68963287319542,-13.309605082116144,-3.51146363801427,-3.4362509301075406,,-1.4615372013862444,-3.1317853868073,8.545222781887857,-41.613653839657715,-9.838545299392003,-10.038420101656598,-18.396166431065236,-4.851627009651438,-44.77787578429895,-21.059260184149622,-48.690970533594786
