Ticker,Q-String,Realized Move Pct,Realized Move Pct Abs,Bid Ask PNL,Realistic PNL,PNL Stock,PNL Log Return,PNL Margin,PNL Mid,PNL Raw,PNL Hedged,Implied Move,Date,Profitable Trade,Implied > Realized
WB,2016-Q2,-0.0112651646447139,0.0112651646447139,0.2094782608695652,0.2663655913978494,0.032790294627383,0.3923852292394574,0.1078677309007981,0.3220425531914892,0.7567999999999996,0.770849315068493,0.0924189070211219,2016-05-11,True,True
WB,2016-Q3,0.1248318536454129,0.1248318536454129,-0.8344126984126985,-0.7403579766536965,-0.0572612321764864,-0.536652212397565,-0.1964556027321395,-0.6498931297709922,-2.1284,0.1457254901960785,0.0796761703208213,2016-08-08,False,False
WB,2016-Q4,0.0734488050866038,0.0734488050866038,-0.4310769230769228,-0.2801492537313431,-0.0104363078272308,-0.1367195951445594,-0.0377867746288798,-0.1379710144927534,-0.4759999999999995,0.9689795918367348,0.0811535371844631,2016-11-21,False,True
WB,2017-Q1,-0.1601099467445456,0.1601099467445456,-2.014760563380282,-1.7675405405405404,-0.1018278646280707,-1.0486173710535784,-0.3795479285394121,-1.5395844155844156,-5.9274,-0.0807679999999999,0.0767359164283767,2017-02-22,False,False
WB,2017-Q2,0.2496025437201907,0.2496025437201907,-2.787272727272727,-2.6623822714681444,-0.1870270270270271,-1.3160953743586856,-0.6827626233313989,-2.5435675675675684,-11.764000000000005,-0.5345454545454554,0.0809908426577052,2017-05-15,False,False
WB,2017-Q3,0.0112450730350104,0.0112450730350104,0.5656913580246913,0.5908048780487806,0.0592058891722698,0.9686068629858302,0.1994805093352082,0.6153132530120482,5.107100000000001,0.9150172413793104,0.1107189937734772,2017-08-08,True,True
WB,2017-Q4,-0.0571845977251383,0.0571845977251383,-1.788830188679245,-1.4469909909909908,-0.0343358029844516,-0.7387424538328582,-0.1482763282411788,-1.1346206896551725,-3.2904,1.6712380952380954,0.022539758136354,2017-10-24,False,False
WB,2018-Q1,0.0959344096018932,0.0959344096018932,-0.4401052631578946,-0.3356345177664974,-0.0205477136336742,-0.2274414771083514,-0.0714747736093143,-0.2383333333333333,-2.431,0.312108843537415,0.0951949048862948,2018-02-12,False,False
WB,2018-Q2,-0.1419642159543714,0.1419642159543714,-1.1198723404255322,-1.0602402088772844,-0.0763872177513868,-0.7340578314923336,-0.2754183334272354,-1.002748717948718,-9.7768,-0.2386903914590749,0.087398717406522,2018-05-08,False,False
WB,2018-Q3,-0.0404935905115609,0.0404935905115609,0.3407384615384616,0.3767490636704121,0.0337222954354858,0.5433374923305211,0.1195548759768943,0.4109197080291971,2.8148000000000004,0.5484444444444446,0.0961668857635568,2018-08-07,True,True
